entity;occur;06/2015;02/2015;01/2016;12/2015;07/2014;06/2014;11/2015;06/2017;08/2016;11/2014;09/2014;08/2014;10/2015;02/2014;12/2016;09/2015;05/2016;04/2016;03/2016;05/2014;01/2017;02/2017;05/2017;03/2017;07/2017;11/2016;09/2016;02/2016;04/2017;03/2015;06/2016;01/2014;10/2016;12/2014;10/2014;03/2014;04/2014;07/2016;01/2015;04/2015;07/2015;05/2015;08/2015
ISIS;1520;None;None;-0.073963;None;None;None;None;-0.151679;None;None;None;None;None;-0.207523;None;-0.004102000000000001;-0.143955;-0.165723;None;-0.109177;-0.13719;-0.127323;-0.186979;None;-0.188385;-0.16569;-0.156199;-0.166648;None;-0.040376;None;-0.080759;None;None;None;None;-0.186828;None;None;None;None;None
Tuesday;1407;None;None;-0.063943;None;None;None;None;0.021919;None;None;None;None;None;-0.040599;None;0.094864;-0.01318;0.023724000000000002;None;-0.036412;0.038647;-0.067477;0.013607;None;-0.013271999999999999;-0.065984;0.081278;-0.022344;None;-0.033118;None;0.011371;None;None;None;None;-0.030826999999999997;None;None;None;None;None
Friday;1403;None;None;-0.008629000000000001;None;None;None;None;-0.066858;None;None;None;None;None;-0.01295;None;0.0;-0.11184100000000001;-0.059289;None;0.006186;-0.012115;-0.032854;0.035722000000000004;None;-0.003348;-0.044025;-0.030302;-0.0027670000000000004;None;-0.07091499999999999;None;-0.029060000000000002;None;None;None;None;-0.040222;None;None;None;None;None
Donald Trump;1350;None;None;0.067129;None;None;None;None;0.033914;0.009337999999999999;None;None;None;None;None;0.050791;None;-0.06363300000000001;-0.0026030000000000003;-0.015865;None;0.000134;0.008121;0.017066;0.011779000000000001;None;0.063626;0.038889;-0.017276;0.096464;None;0.00746;None;0.020685;None;None;None;None;0.068587;None;None;None;None;None
Uber;1330;None;None;-0.005478;None;None;None;None;0.036707;None;None;None;None;None;0.002606;None;-0.031858;0.043582;0.013468;None;0.0009140000000000001;0.009826;-0.051148;-0.054033000000000005;None;0.013338999999999998;0.027277;-0.008288;-0.021251;None;-0.014261000000000001;None;0.025496;None;None;None;None;-0.014812;None;None;None;None;None
Russia;1311;None;None;-0.07230700000000001;None;None;None;None;0.0234;None;None;None;None;None;-0.007905;None;0.0;0.14495;-0.059062;None;0.023017;0.053707000000000005;-0.017598;-0.007232;None;0.006257;-0.002073;0.012903999999999999;0.054807;None;0.044056;None;-0.054589;None;None;None;None;0.055648;None;None;None;None;None
Wednesday;1250;None;None;-0.034628;None;None;None;None;-0.018289;None;None;None;None;None;-0.020197;None;0.027451999999999997;-0.014513999999999999;-0.013052000000000001;None;0.021968;-0.077968;-0.035644;0.023266;None;-0.030521;-0.06023;-0.020159;-0.032638;None;-0.046564999999999995;None;-0.03387;None;None;None;None;-0.066333;None;None;None;None;None
Thursday;1233;None;None;-0.06311699999999999;None;None;None;None;-0.013566;None;None;None;None;None;-0.018585;None;-0.12216700000000001;-0.028426999999999997;-0.068441;None;0.011154;0.0062439999999999996;-0.025365000000000002;0.00056;None;-0.028485000000000003;-0.06154400000000001;-0.0009550000000000001;-0.036953;None;-0.077677;None;-0.021243;None;None;None;None;-0.113482;None;None;None;None;None
republican;1222;None;None;0.07681;None;None;None;None;0.035769;None;None;None;None;None;0.05651900000000001;None;0.064095;0.071358;0.035052999999999994;None;0.029015;0.015363;-0.004884;0.066121;None;0.086698;0.062038;0.074792;0.10760399999999999;None;0.037455;None;0.065756;None;None;None;None;-0.1589;None;None;None;None;None
american;1221;None;None;0.025169999999999998;None;None;None;None;0.056188;None;None;None;None;None;0.074835;None;-0.012486;0.050702;-0.00468;None;0.079597;0.086034;0.016742;0.003421;None;0.086674;-0.021988999999999998;0.069619;0.007811;None;0.049483;None;0.00064;None;None;None;None;0.015657;None;None;None;None;None
New York;1201;None;None;0.084502;None;None;None;None;0.016516;None;None;None;None;None;0.011159;None;0.029417000000000002;0.034026;0.022786;None;0.006486;-0.020608;0.06171;-0.011621;None;0.065861;-0.0043630000000000006;-0.044792;0.0033590000000000004;None;0.012925;None;0.012844999999999999;None;None;None;None;0.000397;None;None;None;None;None
today;1165;None;None;0.008556999999999999;None;None;None;None;0.0036780000000000003;None;None;None;None;None;0.022036;None;-0.076322;0.014537000000000001;0.014268000000000001;None;0.072378;0.02136;0.020808;0.036634;None;-0.013803;0.033163;0.005118;0.001066;None;-0.02415;None;0.033184;None;None;None;None;-0.005862;None;None;None;None;None
Apple;1162;None;None;0.03727;None;None;None;None;0.100275;None;None;None;None;None;0.046286;None;0.060327;0.053008000000000007;0.068766;None;0.034196;0.261233;0.02267;0.047366000000000005;None;0.0020280000000000003;0.030425999999999998;0.026925;0.057464999999999995;None;0.07950299999999999;None;0.02737;None;None;None;None;-0.038847;None;None;None;None;None
Monday;1135;None;None;-0.043675;None;None;None;None;-0.06154400000000001;None;None;None;None;None;-0.085393;None;0.034233;-0.006208;0.008178;None;-0.004163;-0.043825;-0.034232;-0.034102;None;-0.061072;-0.051112;-0.0037159999999999997;-0.04401;None;-0.011941;None;-0.047275;None;None;None;None;0.09877999999999999;None;None;None;None;None
would;1117;None;None;0.040702999999999996;None;None;None;None;0.016196000000000002;None;None;None;None;None;0.007929;None;0.07347100000000001;0.06863;-0.01378;None;-0.015965;-0.014183000000000001;0.001301;0.095368;None;0.033981;-0.088629;0.072144;0.06687799999999999;None;0.057138;None;-0.0026920000000000004;None;None;None;None;0.006940000000000001;None;None;None;None;None
#;1095;None;None;-0.058176;None;None;None;None;-0.2732;0.052136;None;None;None;None;None;-0.0016870000000000001;None;0.0;-5.6000000000000006e-05;0.003399;None;0.039466;0.044858999999999996;0.035427;0.050594;None;-0.083349;-0.0055130000000000005;0.0357;0.0022170000000000002;None;0.024159;None;-0.059146000000000004;None;None;None;None;0.06511;None;None;None;None;None
1;1092;None;None;-0.028138999999999997;None;None;None;None;0.0;0.044529;None;None;None;None;None;0.015946000000000002;None;0.0013050000000000002;-0.054095000000000004;0.0222;None;-0.051766999999999994;0.027625999999999998;0.023294;0.017773;None;0.040594;-0.0056359999999999995;0.029623000000000003;-0.015936000000000002;None;-0.004706;None;0.004325;None;None;None;None;0.033804;None;None;None;None;None
russian;1058;None;None;-0.096136;None;None;None;None;-0.033405000000000004;None;None;None;None;None;0.063044;None;0.0;0.0289;-0.057465999999999996;None;0.052822;0.019693000000000002;-0.022603;-0.0023309999999999997;None;0.08189600000000001;-0.000405;-0.05751799999999999;0.0032340000000000003;None;-0.015168000000000001;None;-0.020208;None;None;None;None;0.175836;None;None;None;None;None
2015;1019;None;None;0.034973000000000004;None;None;None;None;-0.0256;0.043407;None;None;None;None;None;-0.01475;None;0.07216399999999999;0.015528;0.032163;None;-0.008287000000000001;-0.003982;0.023558000000000003;0.006562999999999999;None;0.038771;-0.050013999999999996;-0.0058130000000000005;-0.011317;None;-0.038689;None;-0.019496;None;None;None;None;-0.02316;None;None;None;None;None
2014;979;None;None;-0.05728300000000001;None;None;None;None;0.0;-0.037267;None;None;None;None;None;0.032751999999999996;None;0.085978;-0.028899;-0.040596;None;-0.000534;0.013541;-0.025551;-0.022946;None;0.012116;-0.00935;-0.060749;-0.049273000000000004;None;-0.034226;None;0.010834;None;None;None;None;-0.064778;None;None;None;None;None
LGBT;953;None;None;-0.041092000000000004;None;None;None;None;-0.015;None;None;None;None;None;0.038584;None;0.032212;0.062615;-0.10111;None;0.013578;0.055207000000000006;-0.045188;-0.011912;None;0.054726;-0.024271026315789472;-0.014981;-0.013831999999999999;None;0.000499;None;-0.038119;None;None;None;None;-0.063157;None;None;None;None;None
California;948;None;None;0.0115;None;None;None;None;0.024978999999999998;None;None;None;None;None;0.025563;None;0.039383;0.009065;0.02514;None;-0.125383;-0.054217999999999995;0.022328;0.020843;None;0.003154;-0.048792;-0.022303;0.02174;None;0.004998;None;-0.077395;None;None;None;None;-0.013956999999999999;None;None;None;None;None
Google;948;None;None;0.124786;None;None;None;None;0.034578;None;None;None;None;None;0.092057;None;0.044231;0.05695;0.020538;None;0.045182;0.020340999999999998;0.029025;0.038268;None;0.077192;0.004219;0.127277;0.051833000000000004;None;0.09112;None;0.070528;None;None;None;None;0.187393;None;None;None;None;None
FBI;947;None;None;-0.005526;None;None;None;None;-0.032881;None;None;None;None;None;0.06092;None;0.049443;0.085051;0.019726;None;0.008091;0.059467;0.013093;-0.010995999999999999;None;-0.037325;-0.023762000000000002;0.008112000000000001;0.018324;None;0.067453;None;0.045364;None;None;None;None;-0.069664;None;None;None;None;None
Republicans;945;None;None;0.049824;None;None;None;None;-0.005983;None;None;None;None;None;-0.009682;None;0.2606;-0.076473;-0.005875;None;0.006338;0.067135;0.041772000000000004;0.050911;None;0.069355;-0.065045;-0.042352;0.052249000000000004;None;-0.066723;None;0.029561;None;None;None;None;0.0;None;None;None;None;None
second;920;None;None;0.049682;None;None;None;None;-0.2641;0.041131;None;None;None;None;None;0.0069819999999999995;None;-0.023163999999999997;-0.018183;-0.060487;None;0.012516;0.034061;-0.0015689999999999999;-0.122581;None;0.0299;-0.028707;-0.008938;-0.027562;None;-0.048964;None;-0.025876999999999997;None;None;None;None;-0.017821;None;None;None;None;None
America;913;None;None;0.071506;None;None;None;None;0.092366;None;None;None;None;None;0.187276;None;0.027582;0.090923;0.086412;None;0.009828;0.04895;0.11600999999999999;0.079452;None;0.106424;0.018833000000000003;0.060387;0.1011;None;0.038911;None;0.0048;None;None;None;None;-0.133123;None;None;None;None;None
four;876;None;None;-0.088492;None;None;None;None;-0.008493;None;None;None;None;None;-0.069156;None;-0.104236;-0.101038;-0.07410900000000001;None;0.009727;-0.00248;0.005193;-0.06993300000000001;None;-0.159338;-0.037712;0.009601;-0.051601999999999995;None;-0.149083;None;-0.102375;None;None;None;None;-0.168379;None;None;None;None;None
Syria;876;None;None;-0.1251;None;None;None;None;-0.055354999999999994;None;None;None;None;None;-0.050697000000000006;None;-0.19379100000000002;-0.043407;-0.066925;None;-0.08642000000000001;-0.17624700000000001;-0.08755;-0.042145999999999996;None;-0.211337;-0.0038909999999999995;-0.07220599999999999;-0.11009400000000001;None;0.023262;None;-0.038208;None;None;None;None;0.036767;None;None;None;None;None
last year;875;None;None;-0.058962;None;None;None;None;0.019458;None;None;None;None;None;-0.035128;None;-0.122824;-6.2e-05;-0.102504;None;0.025128;0.011035;0.000696;-0.026764;None;-0.0529;-0.016474000000000003;0.008666;-0.046693;None;-0.050894;None;0.024603;None;None;None;None;0.020571000000000002;None;None;None;None;None
Senate;868;None;None;0.045422000000000004;None;None;None;None;0.045724;None;None;None;None;None;0.051460000000000006;None;0.10468599999999999;0.09051000000000001;0.047889;None;0.055375;0.092821;0.069847;0.057384000000000004;None;0.011361;-0.038706;0.07864199999999999;-0.010729;None;-0.0605;None;0.0031609999999999997;None;None;None;None;0.7269;None;None;None;None;None
2016;859;None;None;-0.051977999999999996;None;None;None;None;-0.08027000000000001;None;None;None;None;None;0.026891;None;-0.034133;0.065669;0.037843;None;-0.012514;-0.011991;0.021398;-0.014206;None;-0.018729;0.11411700000000001;0.056857000000000005;-0.020602000000000002;None;0.032679;None;0.067264;None;None;None;None;0.240033;None;None;None;None;None
White House;855;None;None;0.185078;None;None;None;None;-0.10640999999999999;None;None;None;None;None;0.02802;None;0.056638;0.041010000000000005;None;0.07528865217391305;-0.038409;-0.014088999999999999;0.011063;None;0.10777;0.030449;0.090248;0.001187;None;0.0;None;0.017512;None;None;None;None;None;None;None;None;None
Congress;837;None;None;-0.008246999999999999;None;None;None;None;-0.018727;None;None;None;None;None;0.017531;None;-0.08524;-0.020728;0.077747;None;0.017814;-0.004681;0.07032999999999999;-0.0065980000000000006;None;8e-05;-0.070286;-0.004113;0.003065;None;-0.038506;None;0.035108;None;None;None;None;0.06262899999999999;None;None;None;None;None
Democrats;814;None;None;0.011387000000000001;None;None;None;None;0.041007999999999996;None;None;None;None;None;0.045116;None;0.0129;-0.089115;-0.015252000000000002;None;-0.001384;0.040889999999999996;-0.011597;0.038957;None;0.076284;-0.053083000000000005;0.045263;0.07234199999999999;None;0.01215;None;0.11888599999999999;None;None;None;None;0.0;None;None;None;None;None
House;808;None;None;0.07004099999999999;None;None;None;None;0.063815;None;None;None;None;None;0.060278;None;-0.07955;0.019215;0.015718;None;0.031644;0.129;0.027229000000000003;0.06737699999999999;None;0.093937;0.07965;0.10926400000000001;0.016958;None;0.045114999999999995;None;0.131655;None;None;None;None;0.0;None;None;None;None;None
Washington;805;None;None;-0.049426;None;None;None;None;0.051848000000000005;None;None;None;None;None;0.004548;None;0.0;-0.021893;-0.019136;None;-0.002691;-0.02224;0.065357;0.012222;None;0.030414999999999998;-0.026076;-0.028995;-0.015872;None;-0.10366800000000001;None;-0.047331;None;None;None;None;-0.047011000000000004;None;None;None;None;None
Saturday;800;None;None;-0.010242;None;None;None;None;-0.17705;None;None;None;None;None;-0.0317;None;-0.0637;-0.071912;None;-0.019627000000000002;0.020719;0.018268;-0.008791;None;-0.032019;-0.008908;-0.032248;-0.009355;None;-0.07623400000000001;None;-0.076031;None;None;None;None;-0.124017;None;None;None;None;None
night;789;None;None;-0.051223000000000005;None;None;None;None;-0.087921;None;None;None;None;None;0.021639;None;0.0;-0.02093;-0.020374;None;-0.0043479999999999994;0.027349000000000002;0.05149;0.043927;None;0.046391;-0.06996000000000001;0.06462999999999999;-0.015893;None;-0.07553849999999998;None;-0.047889999999999995;None;None;None;None;-0.14551;None;None;None;None;None
Turkey;760;None;None;-0.058404;None;None;None;None;-0.036689;None;None;None;None;None;-0.040724;None;0.0;0.028558;-0.121814;None;-0.038796;-0.058472;-0.033571;0.054634;None;-0.013369999999999998;0.059154;-0.08783300000000001;-0.037177999999999996;None;-0.090162;None;-0.11698800000000001;None;None;None;None;0.022506;None;None;None;None;None
Sanders;745;None;None;0.08694299999999999;None;None;None;None;0.4208;None;None;None;None;None;-0.011175;None;0.14038599999999998;0.12942599999999999;0.086642;None;0.15675999999999998;0.01073;0.0;None;0.101441;-0.095029;0.095122;-0.23775;None;0.00234;None;-0.2004;None;None;None;None;0.044311;None;None;None;None;None
2;739;None;None;-0.048478;None;None;None;None;0.0;0.02089;None;None;None;None;None;-0.023981;None;0.074;0.07943099999999999;0.007316;None;0.061165;0.06278500000000001;0.018634;0.05251;None;0.0061200000000000004;0.00451;-0.029879000000000003;0.047398;None;-0.044976;None;-0.0054;None;None;None;None;0.007333;None;None;None;None;None
the United States;736;None;None;0.39934000000000003;None;None;None;None;0.327396;None;None;None;None;None;0.333516;None;0.25366875;0.39387994871794874;0.403754;None;0.331584;0.408453;0.392949;0.42024399999999995;None;0.45863400000000004;0.405121;0.400242;0.4199;None;0.33261999999999997;None;0.390787;None;None;None;None;0.45524;None;None;None;None;None
the White House;718;None;None;0.1171;None;None;None;None;0.047875;None;None;None;None;None;0.047931;None;0.26715;0.051384000000000006;0.101688;None;0.090528;0.008598999999999999;-0.007167;0.004407;None;0.037495999999999995;0.019187;0.08568200000000001;0.052023;None;0.050575;None;0.04815;None;None;None;None;0.0044399999999999995;None;None;None;None;None
Americans;701;None;None;-0.066476;None;None;None;None;-0.094524;None;None;None;None;None;0.079407;None;0.040556;0.005722;-0.09653400000000001;None;-0.083648;-0.026488;-0.019707;-0.003005;None;-0.000239;-0.013094;0.001395;0.040612999999999996;None;-0.0014089999999999999;None;0.040702999999999996;None;None;None;None;-0.076507;None;None;None;None;None
