entity;occur;06/2015;02/2015;01/2016;12/2015;07/2014;06/2014;11/2015;06/2017;08/2016;11/2014;09/2014;08/2014;10/2015;02/2014;12/2016;09/2015;05/2016;04/2016;03/2016;05/2014;01/2017;02/2017;05/2017;03/2017;07/2017;11/2016;09/2016;02/2016;04/2017;03/2015;06/2016;01/2014;10/2016;12/2014;10/2014;03/2014;04/2014;07/2016;01/2015;04/2015;07/2015;05/2015;08/2015
one;3144;-0.025032;-0.05806;0.0;None;None;None;0.0067670000000000004;None;None;0.0;None;0.004253;0.0;-0.028441;-0.010678;-0.060714;None;None;None;None;None;None;-0.007409000000000001;-0.01135;-0.024879;None;None;-0.059199;None;-0.028212;None;None;None;-0.026143;None;0.0;0.0;None;None
Fox News;2657;0.01564;-0.003636;None;None;None;0.017772860962566847;None;None;None;0.0047930397727272735;0.03163647196261682;0.008703;0.005609121739130435;None;None;None;None;None;None;-0.1466235764075067;-0.019961013761467892;0.026212091503267972;None;None;-0.0055969999999999995;None;-0.15533470588235293;None;None;None;0.03364007547169811;None;0.0;None;None
Obama;2537;0.045013;-0.022216999999999997;None;None;None;-0.014085;None;None;None;0.044102999999999996;0.007790999999999999;-0.004007999999999999;0.0019879999999999997;None;None;None;None;None;None;0.047471;0.012911;0.026532;None;None;-0.015015;None;0.010264;None;None;None;0.055893;None;0.0;None;None
two;2203;-0.0236;-0.068219;-0.060573;0.0;None;None;None;-0.03077;None;None;None;-0.012061;-0.014769999999999998;-0.023341999999999998;-0.11652799999999999;None;None;None;None;None;None;-0.017666;-0.053761;-0.049665;None;None;-0.086502;None;-0.028948;None;None;None;-0.105281;None;None;None
first;2174;0.0;-0.005581;0.008814;None;None;None;0.048244;None;None;-0.1027;None;0.029848000000000003;0.005148;0.077783;0.035894;None;None;None;None;None;None;0.023198;0.009815;0.023591;None;None;-0.004566;None;-0.000737;None;None;None;0.030754000000000004;None;0.0;None;None
Monday;1335;0.0;-0.054116;0.190633;None;None;None;-0.026757999999999997;None;None;None;-0.034022000000000004;-0.019576;-0.04747;0.026226;None;None;None;None;None;None;0.010294;-0.020184999999999998;-0.03148;None;None;-0.074573;None;-0.023438;None;None;None;-0.044014;None;0.128;None;None
Sunday;1328;0.1027;-0.029407;None;None;None;-0.031469;None;None;0.0772;None;0.027831;0.014565;-0.036759;-0.078957;None;None;None;None;None;None;-0.002003;-0.049555;0.032964999999999994;None;None;-0.087656;None;-0.017514;None;None;None;-0.047244;None;None;None
Republicans;1322;0.057185;0.0;None;None;None;0.045472000000000005;None;None;0.0;None;0.023577;0.046094;-0.054905999999999996;-0.009677;None;None;None;None;None;None;0.029483;0.039844;0.012562;None;None;0.013244999999999998;None;0.033098;None;None;None;0.001662;None;None;None
Thursday;1234;0.0;-0.021921;-0.039238;-0.2732;None;None;None;-0.0061329999999999996;None;None;0.0;None;-0.001552;0.020685;-0.025838;-0.076309;None;None;None;None;None;None;-0.016743;0.002346;-0.032832;None;None;-0.0010429999999999999;None;-0.016074;None;None;None;-0.12908499999999998;None;-0.04046;None;None
000;1224;-0.007947;0.043241;None;None;None;-0.009433;None;None;-0.2553;None;0.004772;0.0;0.020841;-0.011082;0.01696;None;None;None;None;None;None;-4.1e-05;-0.07145800000000001;-0.049341;None;None;0.003173;None;0.0033009999999999997;None;None;None;-0.016175;None;0.0;-0.0242;None;None
ISIS;1134;-0.13478800000000002;0.136375;None;None;None;-0.073271;None;None;None;-0.055607000000000004;-0.253183;-0.174478;-0.217115;-0.140706;None;None;None;None;None;None;-0.070881;-0.18148399999999998;-0.104545;None;None;-0.05218;None;-0.10909200000000001;None;None;None;-0.1821;None;None;None
