entity;occur;04/2016;04/2017;08/2016;12/2016;02/2016;02/2017;01/2016;01/2017;07/2016;06/2016;06/2017;03/2016;03/2017;05/2016;11/2016;10/2016;09/2016;04/2015;12/2014;12/2015;01/2015;05/2015;05/2017;11/2015;09/2015;08/2014;08/2015;02/2014;02/2015;01/2014;07/2014;07/2015;06/2014;06/2015;03/2014;03/2015;05/2014;11/2014;10/2014;10/2015;09/2014;07/2017;04/2014
22 year;149;-0.15205000000000002;0.0;-0.046316666666666666;-0.08656359090909091;0.22586;0.08981875;0.13626666666666667;-0.14389999999999997;0.0;-0.3062;0.10632;-0.06029999999999999;0.0368;-0.32126666666666664;0.0739875;0.0228090909090909;-0.053849900000000006;-0.2997;None;None;0.0;None;-0.004685857142857138;None;None;None;0.0;None;None;None;None;None;None;None;None;-0.5994;None;None;None;None;None;None;None
three week ago;149;-0.1426888888888889;0.004546666666666669;-0.069675;0.06514989999999998;0.0;-0.06283076923076923;0.08037999999999998;-0.04153749999999999;-0.15526666666666666;0.0743901;0.2287598;-0.100475;0.015575000000000006;0.075875;-0.03930006666666667;0.005599999999999986;-0.06364;-0.2023;None;None;0.4939;None;0.14049999999999999;0.0;None;None;None;None;0.0;None;None;-0.18575;None;0.0;None;0.0;None;None;None;None;None;None;None
Chris Cuomo;149;0.0;-0.03558;-0.25470000000000004;0.020539999999999996;0.0511;-0.0363;0.05242718181818182;-0.05952493750000001;0.0;-0.021333333333333333;-0.04933333333333333;0.0;0.04255454545454546;-0.08326;0.08038;0.08049985714285714;-0.059199999999999996;0.0;None;None;0.0;None;0.04013333333333333;None;None;None;None;None;None;0.0;None;None;None;-0.034233;None;None;None;None;None;None;None;None;None
Hartford;149;0.032836363636363636;-0.056666611111111105;0.07038557142857142;0.045725;0.1270665;-0.012781818181818188;0.0;0.0599;0.0;0.022477777777777777;-0.0841125;-0.0540402;-0.03181666666666667;0.0;-0.041666666666666664;-0.10232307692307693;0.27115;0.0;None;None;None;None;-0.4019;None;None;None;None;None;None;None;None;0.0;None;0.0;None;0.0;None;None;None;None;None;None;None
a couple of day;149;-0.07294285714285716;0.064425;-0.035764285714285714;-0.0545;0.12298571428571428;0.007220000000000001;0.03062;0.024355555555555554;-0.1207375;-0.05747999999999999;0.0;0.0;0.0;0.07985;-0.10614285714285714;0.0;-0.048909999999999995;0.0;None;None;0.245033;None;-0.10533350000000001;None;None;None;None;None;0.4939;None;None;None;None;0.0;None;None;None;None;0.3818;None;None;None;None
Santa Claus;149;0.0;0.08681111111111112;0.0876;0.017961845070422536;0.4754;0.21619999999999998;0.17;-0.2028998333333333;0.03157499999999999;0.5406;0.27886666666666665;-0.296;-0.17356666666666667;0.12040000000000001;0.01714;0.1806;0.0;None;0.0;-0.0577;None;-0.5423;0.0;None;None;None;None;None;None;None;None;None;None;None;None;0.0;None;None;None;0.0;None;None;None
17th;148;-0.12765;0.008057894736842104;-0.08895;0.04583;0.0;0.003969230769230769;0.0;-0.04684;0.0;0.0;0.016461461538461532;0.0;0.05877777777777777;-0.040942857142857156;0.041733333333333344;0.0;-0.10309999999999998;0.0;None;None;0.0;0.175567;0.03097777777777777;None;None;None;None;None;-0.6705;None;None;0.0;None;None;None;0.0;None;None;None;None;None;0.24503333333333333;None
Long Beach;148;0.0;0.060661615384615376;-0.06861708333333333;0.10615000000000001;0.285625;0.0;-0.159225;0.00516;0.0;0.0031692307692307705;0.05464019999999999;-0.013038692307692314;0.125562375;0.18993316666666668;0.0;0.0903;0.03912;None;None;0.13085;0.154;None;-0.0019818181818181805;None;None;None;None;None;None;None;None;None;None;0.4853;None;-0.07655;None;None;None;None;None;0.0;None
IV;148;0.1468;-0.06227142857142857;0.022359999999999998;0.0;0.0;-0.0999;-0.13396666666666665;0.05006946153846154;0.027145727272727273;0.1525665;0.0;0.0;0.037;-0.1727;-0.0871090909090909;-0.04351666666666667;-0.0659701;0.0;None;None;None;None;0.12023344444444446;None;None;None;None;None;None;0.0;None;None;None;0.0;None;0.034425;None;None;None;None;None;None;None
a mile;148;-0.14049999999999999;-0.041925000000000004;-0.03805384615384615;0.0;-0.09491428571428573;0.03746464705882353;0.043254545454545434;-0.07955;-0.11148;-0.2790714285714286;-0.02551666666666667;0.024862500000000003;0.0;0.12738;0.0036857142857142857;-0.10033344444444443;-0.14368;0.0;None;0.0;-0.1468;0.0;0.0;None;None;None;None;None;0.0;None;None;0.0;None;None;None;None;None;None;None;None;None;None;None
