entity;occur;06/2015;02/2015;01/2016;12/2015;07/2014;06/2014;11/2015;06/2017;08/2016;11/2014;09/2014;08/2014;10/2015;02/2014;12/2016;09/2015;05/2016;04/2016;03/2016;05/2014;01/2017;02/2017;05/2017;03/2017;07/2017;11/2016;09/2016;02/2016;04/2017;03/2015;06/2016;01/2014;10/2016;12/2014;10/2014;03/2014;04/2014;07/2016;01/2015;04/2015;07/2015;05/2015;08/2015
Monday;2916;None;None;-0.042904000000000005;0.0;None;None;None;-0.0062759999999999995;-0.045336;None;None;None;None;None;-0.023746;None;0.019607;-0.038287;-0.050668;None;-0.00995;0.001032;-0.016477000000000002;-0.022747;None;-0.006392;0.030242;-0.033056;-0.005914;None;-0.016849;None;-0.013347;None;None;-0.039476;None;None;None
second;2874;None;None;0.038544999999999996;-0.0389;None;None;None;-0.026291000000000002;0.070962;None;None;None;None;None;-0.032267000000000004;None;0.039691000000000004;0.05252999999999999;0.001924;None;0.024076;0.020880000000000003;0.011618999999999999;0.040229;None;0.011298;0.010366;0.05915499999999999;0.031514999999999994;None;0.015263999999999998;None;-0.01599;None;None;0.0;0.014149;None;None;None
Obama;2868;None;None;-0.017432;0.15317999999999998;None;None;None;0.0176;-0.003848;None;None;None;None;None;0.004729;None;-0.024816;-0.0037719999999999997;0.050974;None;0.039329;-0.017172;-0.011901;0.007875;None;0.030702999999999998;0.06325599999999999;-0.011019;0.004876;None;-0.007017;None;0.045292;None;None;0.024334;None;None;None
year;2573;None;None;0.025527;0.255355;None;None;None;0.010870999999999999;0.08002263043478261;None;None;None;None;None;-0.010149;None;0.038931;0.029125;0.004918;None;-0.02245394117647059;0.034745;0.038541000000000006;0.001962213438735178;None;0.012262;-0.021322999999999998;0.04867;0.026985000000000002;None;-0.002204;None;-0.013540258620689657;None;None;0.027211000000000003;None;None;None
Wednesday;2569;None;None;-0.065728;-0.0034630000000000004;None;None;None;-0.033401;0.023965;None;None;None;None;None;-0.015785;None;-0.015046;-0.007772;-0.074281;None;-0.009372;0.0061649999999999995;-0.049624;-0.027022000000000004;None;-0.006089;-0.043262;0.001641;-0.037866000000000004;None;-0.049941;None;0.009834;None;None;-0.052667;-0.055373;None;0.5423;None;None
last year;2494;None;None;0.041809;0.0;None;None;None;-0.024898;0.009655;None;None;None;None;None;-0.020125;None;-0.054408000000000005;0.026268;0.021156;None;-0.026305000000000002;0.011453;-0.005946;-0.012415;None;0.033877;-0.034688;-0.015918;0.01344;None;0.042003;None;0.012740999999999999;None;None;0.004944;None;None;None
four;2474;None;None;-0.065701;-0.3604;None;None;None;-0.056485;0.007091;None;None;None;None;None;-0.07966799999999999;None;-0.011211;-0.014372999999999999;-0.039883;None;-0.002735;-0.005452;-0.034959;-0.056642;None;-0.038354;-0.037846;0.00596;-0.044636;None;-0.027455;None;-0.006539;None;None;0.175567;-0.03404;0.05135;None;None;None
Mets;2446;None;None;0.049397;None;None;None;0.032401;0.030164999999999997;None;None;None;None;None;0.043837;None;0.033415;0.048386;0.094438;None;0.03422;0.089962;0.016229;0.072305;None;0.075349;0.056726;0.113376;0.058613;None;0.052247;None;0.053952999999999994;None;None;0.05193300000000001;None;None;None
2;2441;None;None;0.009048;0.0;None;None;None;0.025981999999999998;0.019073;None;None;None;None;None;0.056435;None;0.0035310000000000003;0.047527;0.039213;None;0.042883;0.015653999999999998;0.013125;0.030760000000000003;None;0.01548;0.022004;0.048787;0.021127;None;0.002186;None;0.016031;None;None;0.018539;None;None;None
Yankees;2428;None;None;0.06339;None;None;None;0.045355;0.084195;None;None;None;None;None;0.09360399999999999;None;0.07232100000000001;0.027537;0.062983;None;0.09200499999999999;0.081363;0.071601;0.053128999999999996;None;0.111187;-0.00475;0.07319400000000001;0.082995;None;0.031348;None;0.066014;None;None;-0.119175;0.05734500000000001;None;None;None
